val_loss,val_acc,epoch,step,train_acc,test_acc
0.7795097827911377,0.515625,0,1,,
,,0,1,0.484375,
0.7538867592811584,0.53125,1,3,,
,,1,3,0.765625,
0.7527895569801331,0.53125,2,5,,
,,2,5,0.875,
0.7662935853004456,0.53125,3,7,,
,,3,7,0.921875,
0.7927659749984741,0.546875,4,9,,
,,4,9,0.9375,
,,5,10,,0.6255000233650208
