val_loss,val_acc,epoch,step,train_acc,train_loss,test_acc
0.6020881533622742,0.6728515625,0,31,,,
,,0,31,0.6376953125,,
,,1,49,,0.5551405549049377,
0.589432954788208,0.69921875,1,63,,,
,,1,63,0.701171875,,
0.5851702094078064,0.7080078125,2,95,,,
,,2,95,0.7275390625,,
,,3,99,,0.4422959089279175,
0.5829908847808838,0.7158203125,3,127,,,
,,3,127,0.7626953125,,
,,4,149,,0.6563422083854675,
0.5950183868408203,0.705078125,4,159,,,
,,4,159,0.78515625,,
,,5,160,,,0.7167500257492065
