train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
0.7138439416885376,0,49,,,,
0.6202458739280701,0,99,,,,
0.561651885509491,0,149,,,,
0.4950486123561859,0,199,,,,
0.4743206202983856,0,249,,,,
0.5653294324874878,0,299,,,,
0.6436953544616699,0,349,,,,
0.4104815423488617,0,399,,,,
0.4455505609512329,0,449,,,,
,0,449,0.483102947473526,0.768750011920929,,
,0,449,,,0.7206944227218628,
0.5490279197692871,1,499,,,,
0.42692357301712036,1,549,,,,
0.663290798664093,1,599,,,,
0.32359516620635986,1,649,,,,
0.3818703591823578,1,699,,,,
0.5471130013465881,1,749,,,,
0.36082127690315247,1,799,,,,
0.553082287311554,1,849,,,,
0.72035813331604,1,899,,,,
,1,899,0.47673165798187256,0.7756249904632568,,
,1,899,,,0.7748610973358154,
0.36955735087394714,2,949,,,,
0.46570393443107605,2,999,,,,
0.409646213054657,2,1049,,,,
0.5172921419143677,2,1099,,,,
0.410427987575531,2,1149,,,,
0.3356168568134308,2,1199,,,,
0.5608612298965454,2,1249,,,,
0.464552104473114,2,1299,,,,
0.425289124250412,2,1349,,,,
,2,1349,0.422460675239563,0.8187500238418579,,
,2,1349,,,0.7983333468437195,
0.5104931592941284,3,1399,,,,
0.35038453340530396,3,1449,,,,
0.31949251890182495,3,1499,,,,
0.5930883884429932,3,1549,,,,
0.27280667424201965,3,1599,,,,
0.46521660685539246,3,1649,,,,
0.37327077984809875,3,1699,,,,
0.4037875533103943,3,1749,,,,
0.3121757507324219,3,1799,,,,
,3,1799,0.4419117867946625,0.793749988079071,,
,3,1799,,,0.8099305629730225,
0.3976643681526184,4,1849,,,,
0.3978957235813141,4,1899,,,,
0.5286649465560913,4,1949,,,,
0.46740996837615967,4,1999,,,,
0.34748223423957825,4,2049,,,,
0.29927849769592285,4,2099,,,,
0.2102094143629074,4,2149,,,,
0.3813968598842621,4,2199,,,,
0.352626234292984,4,2249,,,,
,4,2249,0.3937608301639557,0.8387500047683716,,
,4,2249,,,0.8226388692855835,
0.4301283359527588,5,2299,,,,
0.31732475757598877,5,2349,,,,
0.5171535611152649,5,2399,,,,
0.3883940577507019,5,2449,,,,
0.676733672618866,5,2499,,,,
0.33367660641670227,5,2549,,,,
0.4516966938972473,5,2599,,,,
0.34200066328048706,5,2649,,,,
0.46775126457214355,5,2699,,,,
,5,2699,0.3695068657398224,0.856249988079071,,
,5,2699,,,0.8288888931274414,
0.38762837648391724,6,2749,,,,
0.3841540217399597,6,2799,,,,
0.49112629890441895,6,2849,,,,
0.31859463453292847,6,2899,,,,
0.19475829601287842,6,2949,,,,
0.358198344707489,6,2999,,,,
0.38901829719543457,6,3049,,,,
0.4697270393371582,6,3099,,,,
0.29762002825737,6,3149,,,,
,6,3149,0.3621499240398407,0.8581249713897705,,
,6,3149,,,0.831041693687439,
0.35537511110305786,7,3199,,,,
0.48517733812332153,7,3249,,,,
0.3376255929470062,7,3299,,,,
0.3277129530906677,7,3349,,,,
0.33969879150390625,7,3399,,,,
0.21208523213863373,7,3449,,,,
0.35163310170173645,7,3499,,,,
0.3608396351337433,7,3549,,,,
0.2767385244369507,7,3599,,,,
,7,3599,0.3703913390636444,0.8556249737739563,,
,7,3599,,,0.8431944251060486,
0.2468366175889969,8,3649,,,,
0.3132535219192505,8,3699,,,,
0.4286746084690094,8,3749,,,,
0.23466366529464722,8,3799,,,,
0.3318118751049042,8,3849,,,,
0.19061794877052307,8,3899,,,,
0.19313809275627136,8,3949,,,,
0.4600255489349365,8,3999,,,,
0.3816496431827545,8,4049,,,,
,8,4049,0.3592143654823303,0.8631250262260437,,
,8,4049,,,0.8413888812065125,
0.3990721106529236,9,4099,,,,
0.22988823056221008,9,4149,,,,
0.4766683578491211,9,4199,,,,
0.20069435238838196,9,4249,,,,
0.3680804371833801,9,4299,,,,
0.34350118041038513,9,4349,,,,
0.3380171060562134,9,4399,,,,
0.3272906541824341,9,4449,,,,
0.3211625814437866,9,4499,,,,
,9,4499,0.36617252230644226,0.8450000286102295,,
,9,4499,,,0.8460416793823242,
0.35671666264533997,10,4549,,,,
0.20210814476013184,10,4599,,,,
0.21689829230308533,10,4649,,,,
0.386392742395401,10,4699,,,,
0.4064278304576874,10,4749,,,,
0.27301934361457825,10,4799,,,,
0.2295103520154953,10,4849,,,,
0.41248610615730286,10,4899,,,,
0.2624782919883728,10,4949,,,,
,10,4949,0.3373560607433319,0.8768749833106995,,
,10,4949,,,0.8618055582046509,
0.2735852599143982,11,4999,,,,
0.18417254090309143,11,5049,,,,
0.34757310152053833,11,5099,,,,
0.3734566867351532,11,5149,,,,
0.2822926342487335,11,5199,,,,
0.4214359223842621,11,5249,,,,
0.3094686269760132,11,5299,,,,
0.3984762728214264,11,5349,,,,
0.5023676753044128,11,5399,,,,
,11,5399,0.34124839305877686,0.8612499833106995,,
